NPA,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
178,"7.1%","11.6%","10.8%","14.3%","14%","19%","19%","20.7%","36.3%","29.4%"
179,"5.9%","4.5%","7.1%","2.6%","2.9%","7%","5.6%","4.6%","11%","9.8%"
180,"9.7%","11.7%","19.7%","12.7%","9.1%","12.3%","10.1%","29.3%","28.1%","21.2%"
181,"4.2%","7.7%","5%","5.7%","6.6%","7.3%","9.6%","4.6%","14.8%","11.8%"
182,"10.3%","24%","24%","23.6%","30.2%","21.2%","22.6%","42.1%","46.5%","32.4%"
183,"11%","11.2%","9%","8.6%","11.5%","14.5%","16.8%","35.7%","25.4%","30.9%"
184,"5.5%","2.4%","2.4%","1%","5.6%","1.9%","2.5%","6.9%","9.4%","6%"
185,"15.6%","14.9%","16.1%","12.8%","15.5%","17.7%","21.2%","41.4%","42.9%","33.5%"
186,"10.5%","15.4%","12.3%","10.8%","9.7%","11.1%","14.9%","23.8%","30.2%","19.3%"
187,"4%","5.7%","1.3%","5.1%","5.8%","6.4%","8.8%","7.7%","17.5%","11.1%"
188,"4.6%","5.2%","6.5%","3.8%","4%","6.3%","7%","3.5%","11.3%","10.5%"
189,"5.9%","6.9%","4.6%","8%","8.8%","9%","10.2%","3%","15.4%","13.8%"
190,"10%","12.1%","18%","15.6%","19%","21%","25.4%","33.5%","37.3%","30%"
191,"6.5%","9.4%","7.2%","10.9%","11.1%","11.1%","17.8%","17.6%","27.9%","24.4%"
192,"5.9%","6.6%","10.1%","8.8%","10.4%","10.7%","14.6%","21.3%","26.3%","20.7%"
193,"5.2%","7%","6.4%","6.2%","8.7%","2%","6.3%","11.1%","23.6%","15.1%"
194,"2.8%","6%","6.1%","4.5%","6%","6.1%","4%","3.1%","7.9%","6.6%"
195,"8.1%","8.3%","8.9%","7.7%","7.2%","9%","12.3%","23.4%","27.2%","22.5%"
196,"8.7%","16.5%","11.8%","15.3%","15.6%","14.9%","15.8%","32%","35%","25.3%"
197,"6.8%","8.5%","13.2%","11.9%","15.6%","15.5%","15.7%","34.6%","26.8%","29.7%"
198,"16.1%","16.5%","8.9%","13.3%","10.2%","13.4%","12.7%","18.7%","22.9%","21.8%"
199,"13.1%","18.9%","19.3%","20.9%","18.7%","23.3%","25.4%","38.1%","45.4%","35.6%"
200,"10.2%","13.6%","14.9%","17%","11.1%","14.7%","13.5%","40.1%","39%","32.7%"
201,"2.1%","5.6%","5.7%","5.1%","7%","6.4%","11.6%","7.1%","16.3%","14%"
202,"12%","14.1%","10%","12.9%","12.8%","15.2%","17.5%","24.7%","32.2%","28.1%"
203,"8.4%","8.5%","9.2%","7.4%","10.6%","9.9%","11.1%","11.9%","26%","16.8%"
204,"3.8%","2.6%","3.5%","4.1%","4%","4%","4.5%","5.8%","19.2%","15.9%"
205,"1.5%","2.6%","4.3%","2.7%","1.8%","4.3%","3.6%","1.5%","3.7%","2.1%"
206,"3.1%","4.4%","4.7%","3.5%","4.6%","5.5%","5.5%","3%","7%","8.6%"
207,"10%","10.8%","4.5%","12%","13.7%","17.9%","17.4%","26.7%","37.1%","30.2%"
208,"3.4%","1.3%","0.9%","1.7%","1.2%","2.2%","4%","3%","11.8%","7.2%"
209,"7.6%","12%","11.9%","11%","12.2%","14.3%","15%","20.1%","26.8%","19.9%"
210,"8.3%","3.6%","5%","10.1%","11.9%","17.1%","18.2%","16.7%","30.8%","27%"
211,"6.4%","7.5%","8.9%","8.7%","7.8%","10.6%","14.4%","22.1%","26.6%","21.3%"
